Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-03,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.8
2023-05-03,POWIDZ,Jez. Powidzkie,wielkopolskie,11.0
2023-05-03,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,11.7
2023-05-03,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,13.4
2023-05-03,DADAJ,Jez. Dadaj,warmińsko-mazurskie,9.5
2023-05-03,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-04,EŁK,Jez. Ełckie,warmińsko-mazurskie,10.7
2023-05-04,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-04,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,11.4
2023-05-04,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,11.9
2023-05-04,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-04,WÓLKA,Jez. Rospuda Filipowska,podlaskie,8.8
2023-05-04,WRÓBEL,Jez. Hańcza,podlaskie,5.1
2023-05-04,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,12.8
2023-05-04,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,11.0
2023-05-04,WIGRY,Jez. Wigry,podlaskie,10.6
2023-05-04,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,11.1
2023-05-04,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-04,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,13.1
2023-05-04,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-04,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,8.9
2023-05-04,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,11.3
2023-05-04,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,11.1
2023-05-04,USTKA,Morze Bałtyckie,pomorskie,10.9
2023-05-04,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,8.9
2023-05-04,HEL,Morze Bałtyckie,pomorskie,7.9
2023-05-04,PUCK,Morze Bałtyckie,pomorskie,10.6
2023-05-04,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,9.6
2023-05-04,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-04,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,9.8
2023-05-04,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,10.1
2023-05-04,DADAJ,Jez. Dadaj,warmińsko-mazurskie,9.5
2023-05-04,KRONOWO,Jez. Dejguny,warmińsko-mazurskie,9.2
2023-05-04,GARDNA WIELKA,Jez. Gardno,pomorskie,10.4
2023-05-04,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,11.8
2023-05-04,IZBICA,Jez. Łebsko,pomorskie,11.2
2023-05-04,SIKORY,Jez. Komorze,zachodniopomorskie,12.3
2023-05-04,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,9.0
2023-05-04,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.4
2023-05-04,WYSPA POKRZYWKA,Jez. ostrowite,zachodniopomorskie,10.8
2023-05-04,BUNTOWO,Jez. Sławianowskie,wielkopolskie,11.4
